9012_0,"阅读短文根据短文内容从方框中的五个选项中选出能填入空白处的最佳选项每个选项只能用一次（共6题）###He showedcourage at difficult times, which helped him to succeed###extraordinary"
9016_2,"Read the passage and finish the following tasks.Yesterday's paper had a short article about the ComingofAgeceremony in a large city in Japan. According to the article, the mayor of the city formally apologized to an enraged professor who delivered a speech at the ceremony that was all but ignored by 20yearolds in the city.The officials prepared 7,000 seats in a gymnasium where the ceremony was held for the 17,000 twentyyearolds residing in the city. But most of the seats were empty during the speech. And many of the 20yearolds who did show up ignored the professor and spoke among themselves or talked on their mobile phones. Some even made a ruckus (骚动) outside the gymnasium.One 20yearold who attended the ceremony said youngsters came to the ceremony not to listen to speeches but to see their classmates. The mayor criticized the young generation at a news conference on Tuesday, saying such behavior ""issymbolic of the postwar era which failed to nurture healthy character and social intelligence.""Personally I feel people should not generalize the whole generation or the whole era when he criticizes something. But it is also true generation gap is getting bigger and bigger regarding the ceremony of ComingofAge Day. So far this ceremony has been held with citizens' tax money. Many older generations understand this festival as an entrance ceremony of adults' world which requires maturity including responsibility, patience, and cooperativeness. Older people tend to be ""educational"" to younger ones, while younger people tend to feel they finally obtain a right to behave freely because they are now adults. Though, ironically, young people have to ask their parents to buy them new clothes for the ceremony.It is about time to change the way we celebrate this festival, I think. The idea of blessing new 20yearolds is not so bad. But there seems to be some other ways to celebrate more properly. The present way seems to me a little superficial and materialistic. It can provide solution less arguments between different generations, instead of friendships and respects. Instead of eternally complaining about the young's behaviors at the ceremonies, people should consider how they can make their ceremonies worthier, I feel###Write down how you think about the ceremony event reported in the passage? Give reasons to support your idea###Possible answers:It´s a good idea to hold aceremonylikeComing-of-Age Dayfor the young people. However, the event in Japan proves their ceremony didn´t work as expected. It failed to attract the young people and didn’t have any educational influence on the Japanese young people. It’s obvious the present ceremony is not an efficient way to education the youth. To achieve the educational purpose, the ceremony should the one which can touch the heart of the young people."
9016_3,"Read the passage and finish the following tasks.Yesterday's paper had a short article about the ComingofAgeceremony in a large city in Japan. According to the article, the mayor of the city formally apologized to an enraged professor who delivered a speech at the ceremony that was all but ignored by 20yearolds in the city.The officials prepared 7,000 seats in a gymnasium where the ceremony was held for the 17,000 twentyyearolds residing in the city. But most of the seats were empty during the speech. And many of the 20yearolds who did show up ignored the professor and spoke among themselves or talked on their mobile phones. Some even made a ruckus (骚动) outside the gymnasium.One 20yearold who attended the ceremony said youngsters came to the ceremony not to listen to speeches but to see their classmates. The mayor criticized the young generation at a news conference on Tuesday, saying such behavior ""issymbolic of the postwar era which failed to nurture healthy character and social intelligence.""Personally I feel people should not generalize the whole generation or the whole era when he criticizes something. But it is also true generation gap is getting bigger and bigger regarding the ceremony of ComingofAge Day. So far this ceremony has been held with citizens' tax money. Many older generations understand this festival as an entrance ceremony of adults' world which requires maturity including responsibility, patience, and cooperativeness. Older people tend to be ""educational"" to younger ones, while younger people tend to feel they finally obtain a right to behave freely because they are now adults. Though, ironically, young people have to ask their parents to buy them new clothes for the ceremony.It is about time to change the way we celebrate this festival, I think. The idea of blessing new 20yearolds is not so bad. But there seems to be some other ways to celebrate more properly. The present way seems to me a little superficial and materialistic. It can provide solution less arguments between different generations, instead of friendships and respects. Instead of eternally complaining about the young's behaviors at the ceremonies, people should consider how they can make their ceremonies worthier, I feel###Think out a new way to bless the20yearoldsand write it down###Possible answers:Since the 20-year-old young people of 20 have had theright to behave freely, a ceremony in which they perform as the leading roles should replace the one in which they just sit there and be educated passively. So I suggest giving the youth the chance to voice their opinions in the ceremony. Instead of listening to educators´lectures, selected young people can give speeches in the ceremony, talking about their growing pain, life experience, ambitions, understanding of adulthood, etc. Peer influence is the mosteffectiveeducation method. Performances such as singing, dancing, short plays can also be introduced into the ceremony, making it more attractive, colourful and active."
9017_0,根据句子意思从下面方框中选择一个适当的单词填空使句子意思完整将其正确形式写在句中横线上所选单词只能用一次###There is abuilding near the river###huge
9017_1,根据句子意思从下面方框中选择一个适当的单词填空使句子意思完整将其正确形式写在句中横线上所选单词只能用一次###Hehis knees when he fell over###hurt
9017_2,根据句子意思从下面方框中选择一个适当的单词填空使句子意思完整将其正确形式写在句中横线上所选单词只能用一次###Iforgot what my mother said###even
9017_3,根据句子意思从下面方框中选择一个适当的单词填空使句子意思完整将其正确形式写在句中横线上所选单词只能用一次###He satwhen the tiger came over###still
9017_4,"根据句子意思从下面方框中选择一个适当的单词填空使句子意思完整将其正确形式写在句中横线上所选单词只能用一次###The girl was fat, butshe climbed the tree###easily"
9017_5,"根据句子意思从下面方框中选择一个适当的单词填空使句子意思完整将其正确形式写在句中横线上所选单词只能用一次###Elephantshavelong, strongnoses,so they canthings with their noses###hold"
9017_6,根据句子意思从下面方框中选择一个适当的单词填空使句子意思完整将其正确形式写在句中横线上所选单词只能用一次###Micecan helpmake medicines###scientists
9017_7,根据句子意思从下面方框中选择一个适当的单词填空使句子意思完整将其正确形式写在句中横线上所选单词只能用一次###Ithink tigers and lions areanimals###wild
9021_0,"阅读短文回答问题Mr. and Mrs. Brown have two children, Mike and Liz. The whole family are all busy, so they often leave notes（便条）for each other. Read these four notes of today and answer the following questions.13:30 p.m.To Mike,Mr. Tyler rang. No football practice today. I’m going to Donna’s house to play and be back at 5:00 p.m.Liz24:00 p.m.To Liz,It’s your turn to walk the dog. I have to do my homework after school. Remember to play with Teddy when you get home!Mike36:45 p.m.Has anyone seen my tennis shoes? I’m in my bedroom doing my homework. I will finish it in 30 minutes.Mike49:00 p.m.I saw your shoes this morning. They smelt terrible so I put them outside the back door. Good night!Mum（142 words）###When will Liz be back home###A、At 3:30 p.m.B、At 4:00 p.m.C、At 5:00 p.m.D、At 5:30 p.m. "
9021_1,"阅读短文回答问题Mr. and Mrs. Brown have two children, Mike and Liz. The whole family are all busy, so they often leave notes（便条）for each other. Read these four notes of today and answer the following questions.13:30 p.m.To Mike,Mr. Tyler rang. No football practice today. I’m going to Donna’s house to play and be back at 5:00 p.m.Liz24:00 p.m.To Liz,It’s your turn to walk the dog. I have to do my homework after school. Remember to play with Teddy when you get home!Mike36:45 p.m.Has anyone seen my tennis shoes? I’m in my bedroom doing my homework. I will finish it in 30 minutes.Mike49:00 p.m.I saw your shoes this morning. They smelt terrible so I put them outside the back door. Good night!Mum（142 words）###Who should walk the dog today###A、Mike.B、Mrs. Brown.C、Liz.D、Mike and Liz. "
9021_2,"阅读短文回答问题Mr. and Mrs. Brown have two children, Mike and Liz. The whole family are all busy, so they often leave notes（便条）for each other. Read these four notes of today and answer the following questions.13:30 p.m.To Mike,Mr. Tyler rang. No football practice today. I’m going to Donna’s house to play and be back at 5:00 p.m.Liz24:00 p.m.To Liz,It’s your turn to walk the dog. I have to do my homework after school. Remember to play with Teddy when you get home!Mike36:45 p.m.Has anyone seen my tennis shoes? I’m in my bedroom doing my homework. I will finish it in 30 minutes.Mike49:00 p.m.I saw your shoes this morning. They smelt terrible so I put them outside the back door. Good night!Mum（142 words）###What is Mike doing at 6:50 p.m.###A、Practising football.B、Doing his homework.C、Playing tennis.D、Watching TV. "
9021_3,"阅读短文回答问题Mr. and Mrs. Brown have two children, Mike and Liz. The whole family are all busy, so they often leave notes（便条）for each other. Read these four notes of today and answer the following questions.13:30 p.m.To Mike,Mr. Tyler rang. No football practice today. I’m going to Donna’s house to play and be back at 5:00 p.m.Liz24:00 p.m.To Liz,It’s your turn to walk the dog. I have to do my homework after school. Remember to play with Teddy when you get home!Mike36:45 p.m.Has anyone seen my tennis shoes? I’m in my bedroom doing my homework. I will finish it in 30 minutes.Mike49:00 p.m.I saw your shoes this morning. They smelt terrible so I put them outside the back door. Good night!Mum（142 words）###Where can Mike find his tennis shoes###A、Outside the back door.B、In his bedroom.C、In the living room.D、Under his bed. "
9021_4,"阅读短文回答问题Mr. and Mrs. Brown have two children, Mike and Liz. The whole family are all busy, so they often leave notes（便条）for each other. Read these four notes of today and answer the following questions.13:30 p.m.To Mike,Mr. Tyler rang. No football practice today. I’m going to Donna’s house to play and be back at 5:00 p.m.Liz24:00 p.m.To Liz,It’s your turn to walk the dog. I have to do my homework after school. Remember to play with Teddy when you get home!Mike36:45 p.m.Has anyone seen my tennis shoes? I’m in my bedroom doing my homework. I will finish it in 30 minutes.Mike49:00 p.m.I saw your shoes this morning. They smelt terrible so I put them outside the back door. Good night!Mum（142 words）###Suppose(假设) you are Mike. Write a short note to your mum, Mrs. Brown about your shoes after you read her note.Possible answers:Mum, I know my tennis shoes smelt terrible,butI will wash them later. Don’t worry###Mum, I know my tennis shoes smelt terrible so I will wash them later. Don’t worry."
9022_0,根据句子意思从下面方框中选择一个适当的单词填空使句子意思完整将其正确形式写在句中横线上所选单词只能用一次###Please show me how tothe internet###search
9022_1,根据句子意思从下面方框中选择一个适当的单词填空使句子意思完整将其正确形式写在句中横线上所选单词只能用一次###My father often listens to light music toafter work###relax
9022_2,根据句子意思从下面方框中选择一个适当的单词填空使句子意思完整将其正确形式写在句中横线上所选单词只能用一次###Let's hope our difficulties will soon###disappear
9022_3,根据句子意思从下面方框中选择一个适当的单词填空使句子意思完整将其正确形式写在句中横线上所选单词只能用一次###litter is bad behavior in every country###Throwing
9022_4,根据句子意思从下面方框中选择一个适当的单词填空使句子意思完整将其正确形式写在句中横线上所选单词只能用一次###I looked up and saw my geography teacher walkingme###toward
9022_5,根据句子意思从下面方框中选择一个适当的单词填空使句子意思完整将其正确形式写在句中横线上所选单词只能用一次###Don't make awhile we are studying###noise
9022_6,根据句子意思从下面方框中选择一个适当的单词填空使句子意思完整将其正确形式写在句中横线上所选单词只能用一次###It'sfor mothers to give all her love to kids###natural
9022_7,根据句子意思从下面方框中选择一个适当的单词填空使句子意思完整将其正确形式写在句中横线上所选单词只能用一次###My father willfly to Beijing###probably  
9023_0,"阅读短文根据短文内容从方框中的五个选项中选出能填入空白处的最佳选项每个选项只能用一次Polluting the SeaSea pollution is anything that is present or introduced into sea water,which causes harm. In the sea there are many kinds of pollutants such as rubbish, oil,  and even dirty water from toilets. Eighty percent of sea pollution comes from land, for which, agricultural, and residential waste are mainly responsible. Large ships on voyage can pollute the sea in many ways. For example, oil leaks can have  effects.In most cases, it is our own actions that lead to the pollution. To  this serious problem, every party in society can have an important role to play. Governments should###In the sea there are many kinds of pollutants such as rubbish, oil,  and even dirty water from toilets###chemicals"
9023_1,"阅读短文根据短文内容从方框中的五个选项中选出能填入空白处的最佳选项每个选项只能用一次Polluting the SeaSea pollution is anything that is present or introduced into sea water,which causes harm. In the sea there are many kinds of pollutants such as rubbish, oil,  and even dirty water from toilets. Eighty percent of sea pollution comes from land, for which, agricultural, and residential waste are mainly responsible. Large ships on voyage can pollute the sea in many ways. For example, oil leaks can have  effects.In most cases, it is our own actions that lead to the pollution. To  this serious problem, every party in society can have an important role to play. Governments should###Eighty percent of sea pollution comes from land, for which, agricultural,###industrial"
9023_2,"阅读短文根据短文内容从方框中的五个选项中选出能填入空白处的最佳选项每个选项只能用一次Polluting the SeaSea pollution is anything that is present or introduced into sea water,which causes harm. In the sea there are many kinds of pollutants such as rubbish, oil,  and even dirty water from toilets. Eighty percent of sea pollution comes from land, for which, agricultural, and residential waste are mainly responsible. Large ships on voyage can pollute the sea in many ways. For example, oil leaks can have  effects.In most cases, it is our own actions that lead to the pollution. To  this serious problem, every party in society can have an important role to play. Governments should###For example, oil leaks can have  effects###frightening"
9023_3,"阅读短文根据短文内容从方框中的五个选项中选出能填入空白处的最佳选项每个选项只能用一次Polluting the SeaSea pollution is anything that is present or introduced into sea water,which causes harm. In the sea there are many kinds of pollutants such as rubbish, oil,  and even dirty water from toilets. Eighty percent of sea pollution comes from land, for which, agricultural, and residential waste are mainly responsible. Large ships on voyage can pollute the sea in many ways. For example, oil leaks can have  effects.In most cases, it is our own actions that lead to the pollution. To  this serious problem, every party in society can have an important role to play. Governments should###To  this serious problem, every party in society can have an important role to play###handle"
9023_4,"阅读短文根据短文内容从方框中的五个选项中选出能填入空白处的最佳选项每个选项只能用一次Polluting the SeaSea pollution is anything that is present or introduced into sea water,which causes harm. In the sea there are many kinds of pollutants such as rubbish, oil,  and even dirty water from toilets. Eighty percent of sea pollution comes from land, for which, agricultural, and residential waste are mainly responsible. Large ships on voyage can pollute the sea in many ways. For example, oil leaks can have  effects.In most cases, it is our own actions that lead to the pollution. To  this serious problem, every party in society can have an important role to play. Governments should###Governments shouldlike introducing laws and regulations against pollution###take measures"
9031_0,"阅读Read the passage and finish the following tasks.Pole2Pole – Sailing on Pangaea in Atlantic OceanLiving life gets a new meaning only when you can exist by being who you are. To be free is and certainly will forever be one of the most desired needs of mankind. History has taught us a lot of what we know today about the word freedom. The word freedom has nearly become an obscenity(猥亵言辞) and is slowly disappearing like the morning fog. The question is the following: What price am I willing to pay to be able to live with a certain amount of freedom? And what will I do with the luxury of freedom if I couldacquire it? I guess the trick question is, how do you define being free?The big dilemma of growing up is that we lose our dreams, with that we lose our freedom. The solution to the dilemma is very simple in theory: Grow older but keep on dreaming like a child.My father told me that if your dreams don't scare you, they are not big enough. How can man ever sleep, if his dreams keep on eluding him? Freedom often gets imprisoned in our mind purely by ourselves and how we think.Action is the key word that liberates the mind. To be free, you need action.We often speak about luxury as something we cannot afford. The new luxury in today's world is freedom; it can be bought without a currency. We can buy freedom by changing the way we think! We often move from one situation to another, thinking we will have more time only to realise that we don't. It is like having six of one or a half a dozen of another. One day will always have 24 hours and that's the same for each human being on earth, we all have the same amount of time. How we use it is a different question.Working with freedom, doing what you love, staying true to yourself, trying to do what you always wanted to do, reaching success or failure, learning from it, is all forms of mental freedom. Take a moment to look at your life, find what ties you down, doing your best at what you do, start loving the hard and difficult moments, helps us to free up our mind.We should not always think that by having more time is the only form of freedom. Liberate yourself mentally to take on challenges and responsibilities. It makes you feel good about yourself.In short, enjoy being yourself and love what you do. It will make you happy, and a happy man is a free man.When you have worked hard for what you want, and then acquire it, you often realise that you do not have enough time to use what you have acquired. That belief frustrates and imprisons us. The freedom of enjoying what we worked for, without the pleasure of the action of using it has the reverse effect of what we imagined it to be like when we started pursuing our pathway to freedom. We often say when I have this I will do that… and we find ourselves with no time to do the “that”. This is where the game changes in our mind.Instead of thinking of only enjoying the action part we should enjoy the whole process of acquiring as well, in fact enjoy everything we do in the ideal situation. Certainly there will be different levels of enjoyment.Live in the moment, do not always want to be somewhere else, it liberates your mind and adds to the happiness that makes us feel free! Be happy with who you are, rather than unhappy trying to be someone else or what others want you to be. Freedom can be summed up in 3 words. KEEP IT TRUE.What does all of this blab about freedom have to do with the Pole2Pole expedition?The answer to that question you can read above!Mike Horn###According to the author, freedom###A、can be bought with moneyB、allows us to dream like a childC、means being yourself and loving what you doD、is all about taking actions regardless of the result "
9031_1,"阅读Read the passage and finish the following tasks.Pole2Pole – Sailing on Pangaea in Atlantic OceanLiving life gets a new meaning only when you can exist by being who you are. To be free is and certainly will forever be one of the most desired needs of mankind. History has taught us a lot of what we know today about the word freedom. The word freedom has nearly become an obscenity(猥亵言辞) and is slowly disappearing like the morning fog. The question is the following: What price am I willing to pay to be able to live with a certain amount of freedom? And what will I do with the luxury of freedom if I couldacquire it? I guess the trick question is, how do you define being free?The big dilemma of growing up is that we lose our dreams, with that we lose our freedom. The solution to the dilemma is very simple in theory: Grow older but keep on dreaming like a child.My father told me that if your dreams don't scare you, they are not big enough. How can man ever sleep, if his dreams keep on eluding him? Freedom often gets imprisoned in our mind purely by ourselves and how we think.Action is the key word that liberates the mind. To be free, you need action.We often speak about luxury as something we cannot afford. The new luxury in today's world is freedom; it can be bought without a currency. We can buy freedom by changing the way we think! We often move from one situation to another, thinking we will have more time only to realise that we don't. It is like having six of one or a half a dozen of another. One day will always have 24 hours and that's the same for each human being on earth, we all have the same amount of time. How we use it is a different question.Working with freedom, doing what you love, staying true to yourself, trying to do what you always wanted to do, reaching success or failure, learning from it, is all forms of mental freedom. Take a moment to look at your life, find what ties you down, doing your best at what you do, start loving the hard and difficult moments, helps us to free up our mind.We should not always think that by having more time is the only form of freedom. Liberate yourself mentally to take on challenges and responsibilities. It makes you feel good about yourself.In short, enjoy being yourself and love what you do. It will make you happy, and a happy man is a free man.When you have worked hard for what you want, and then acquire it, you often realise that you do not have enough time to use what you have acquired. That belief frustrates and imprisons us. The freedom of enjoying what we worked for, without the pleasure of the action of using it has the reverse effect of what we imagined it to be like when we started pursuing our pathway to freedom. We often say when I have this I will do that… and we find ourselves with no time to do the “that”. This is where the game changes in our mind.Instead of thinking of only enjoying the action part we should enjoy the whole process of acquiring as well, in fact enjoy everything we do in the ideal situation. Certainly there will be different levels of enjoyment.Live in the moment, do not always want to be somewhere else, it liberates your mind and adds to the happiness that makes us feel free! Be happy with who you are, rather than unhappy trying to be someone else or what others want you to be. Freedom can be summed up in 3 words. KEEP IT TRUE.What does all of this blab about freedom have to do with the Pole2Pole expedition?The answer to that question you can read above!Mike Horn###The passage is mainly about###A、what the price of being free isB、where Mike isheading onexpeditionC、how people could enjoy freedom in lifeD、why freedom isimportantto human beings "
9031_2,"阅读Read the passage and finish the following tasks.Pole2Pole – Sailing on Pangaea in Atlantic OceanLiving life gets a new meaning only when you can exist by being who you are. To be free is and certainly will forever be one of the most desired needs of mankind. History has taught us a lot of what we know today about the word freedom. The word freedom has nearly become an obscenity(猥亵言辞) and is slowly disappearing like the morning fog. The question is the following: What price am I willing to pay to be able to live with a certain amount of freedom? And what will I do with the luxury of freedom if I couldacquire it? I guess the trick question is, how do you define being free?The big dilemma of growing up is that we lose our dreams, with that we lose our freedom. The solution to the dilemma is very simple in theory: Grow older but keep on dreaming like a child.My father told me that if your dreams don't scare you, they are not big enough. How can man ever sleep, if his dreams keep on eluding him? Freedom often gets imprisoned in our mind purely by ourselves and how we think.Action is the key word that liberates the mind. To be free, you need action.We often speak about luxury as something we cannot afford. The new luxury in today's world is freedom; it can be bought without a currency. We can buy freedom by changing the way we think! We often move from one situation to another, thinking we will have more time only to realise that we don't. It is like having six of one or a half a dozen of another. One day will always have 24 hours and that's the same for each human being on earth, we all have the same amount of time. How we use it is a different question.Working with freedom, doing what you love, staying true to yourself, trying to do what you always wanted to do, reaching success or failure, learning from it, is all forms of mental freedom. Take a moment to look at your life, find what ties you down, doing your best at what you do, start loving the hard and difficult moments, helps us to free up our mind.We should not always think that by having more time is the only form of freedom. Liberate yourself mentally to take on challenges and responsibilities. It makes you feel good about yourself.In short, enjoy being yourself and love what you do. It will make you happy, and a happy man is a free man.When you have worked hard for what you want, and then acquire it, you often realise that you do not have enough time to use what you have acquired. That belief frustrates and imprisons us. The freedom of enjoying what we worked for, without the pleasure of the action of using it has the reverse effect of what we imagined it to be like when we started pursuing our pathway to freedom. We often say when I have this I will do that… and we find ourselves with no time to do the “that”. This is where the game changes in our mind.Instead of thinking of only enjoying the action part we should enjoy the whole process of acquiring as well, in fact enjoy everything we do in the ideal situation. Certainly there will be different levels of enjoyment.Live in the moment, do not always want to be somewhere else, it liberates your mind and adds to the happiness that makes us feel free! Be happy with who you are, rather than unhappy trying to be someone else or what others want you to be. Freedom can be summed up in 3 words. KEEP IT TRUE.What does all of this blab about freedom have to do with the Pole2Pole expedition?The answer to that question you can read above!Mike Horn###Mike Horn said “My father told me that if your dreams don't scare you, they are not big enough.”What do you think his father was trying to tell him###Possible answers:His father was trying to encourage him to dream big, be brave to do better and do extraordinary things that might scare him or even be beyond him at the current moment."
