序号,题干
208, 如图，菱形ABCD的边长为10，圆O分别与AB、AD相切于E、F两点，且与BG相切于G点．若AO=5，且圆O的半径为3，则BG的长度为（　　）__img680.jpeg
210,如图，数轴上的A、B、C三点所表示的数分别为a、b、c，其中点A与点C到点B的距离相等，如果|c|＞|a|＞|b|，那么该数轴的原点O的位置应该在（  ）.__img683.jpg
213,工厂中有一块平行四边形的模板，为了提高生产效率，打算再做一块一模一样的模板。在下列方法中，可以选择的方法是(   ).
218,用科学记数法表示0.000567正确的是（   ）
219,用三角板作△ABC的边BC上的高，下列三角板的摆放位置正确的是
225,"正多边形的一个外角是20°,则这个多边形的边数是（  ）"
226,在一个不透明的袋中，装有3个红球和1个白球，这些球除颜色外其余都相同，搅匀后从中随机一次摸出两个球，这两个球都是红球的概率是（   ）．             
230,下列图中是太阳光下形成的影子是（   ）.
233,一辆汽车沿着一山坡行驶了1000m，其铅直高度上升了50m.则此山坡的坡度是( )．  
234,下列各组式子中是同类项的是（）.
242,下列各条件中，不能作出唯一三角形的是（  ）．
243,集合A＝{x|－1≤x≤2}，B＝{x|x<1}，则A∩B等于(　　)
251,下列运算正确的是
252,若偶函数f(x) 在(-∞，-1] 上是增函数，则下列关系式中成立的是（  ）
253,小博表演扑克牌游戏，她将两副牌分别交给观众A和观众B，然后背过脸去，请他们各自按照她的口令操作：a．在桌上摆3堆牌，每堆牌的张数要相等，每堆多于10张，但是不要告诉我；b．从第2堆拿出4张牌放到第1堆里；c．从第3堆牌中拿出8张牌放在第1堆里；d．数一下此时第2堆牌的张数，从第1堆牌中取出与第2堆相同张数的牌放在第3堆里；e．从第2堆中拿出5张牌放在第1堆中小博转过头问两名观众：“请告诉我现在第2堆有多少张牌，我就能告诉你们最初的每堆牌数．”观众A说5张，观众B说8张，小博猜两人最初每一堆里放的牌数分别为（　　）
254,公园里准备修5条通道，并在通道交叉路口处设一个报亭，这样的报亭最多设（    ）．
257,下列说法中正确的为（ ）①平面内，过一点有且只有一条直线与已知直线平行.②平面内，过一点有且只有一条直线与已知直线垂直.③平面内，平行于同一条直线的两条直线互相平行.④在同一平面内，两条直线不是平行就是相交.
262,f(x)，g(x)是定义在R上的函数，h(x)＝f(x)＋g(x)，“f(x)，g(x)均为偶函数”是“h(x)为偶函数”的( )
263,函数y＝f(x)的图象与直线x＝a的交点个数有(　　)
264,已知集合P={x|﹣1＜x＜1}，Q={x|0＜x＜2}，那么P∩Q=（　　）
272,下列实数中，是无理数的是（ ）
274,下列运算中，正确的是（）
279,"设集合A＝{1,3}，集合B＝{1,2,4,5}，则集合A∪B＝(　　)"
281,下列说法错误的是( )
283,有一个长方形，长为25，宽为15，在四个角上截去四个相同的小正方形，然后把四个角折起来，做成一个底面积为231的无盖长方体盒子，求截去的小正方形的边长是多少？若设截去的小正方形的边长为x，则可列方程为（  ）
284,sin20°cos10°－cos160°sin10°＝(　　)
287,由下列线段a，b，c不能组成直角三角形的是
291,若tanθ=0.8972，用科学计算器求锐角θ的度数的正确按键顺序是(  )．
293,"在△ABC中,已知AC=3,BC=4,AB=5,那么下列结论正确的是(  )"
295,化简2（a﹣b）﹣（3a+b）的结果是（）
298,a、b是有理数，它们在数轴上的对应点的位置如图所示.把a，－a，b，－b按照从小到大的顺序排列，正确的是（　）__img1036.jpg
303,下列各图中，∠1与∠2是对顶角的是：（    ）
304,下列各式从左到右的变形正确的是
306,（2019年，海淀期中）用配方法解方程x²-2x-4=0，配方正确的是（  ）.
307,"5.函数f(x)在区间(-4,7)上是增函数,则使得y=f(x-3)为增函数的区间为"
309,下列关于角的说法正确的是（）
311,A、B两地相距450千米，甲、乙两车分别从A、B两地同时出发，相向而行.已知甲车速度为120千米/时，乙车速度为80千米/时，经过t小时两车相距50千米，则t的值是（）
315,下列变量之间关系中，一个变量是另一个变量的正比例函数的是（  ）
323,如果收入15元记作＋15元，那么支出20元记作（ ）
325,某商家在一次买卖中，同时卖出两件上衣，每件都以150元的价格出售，如果按成本计算，其中一件盈利25%，另一件亏本25%.那么该商家在这次买卖中（）.
331,下列各数是无理数的为（）
334,在Rt△ABC中，∠C＝90°，若BC＝1，AC＝2，则cos A的值为（ ）.
335,某学生离家去学校，由于怕迟到，所以一开始就跑步，等跑累了再走余下的路程.在下图中纵轴表示离学校的距离，横轴表示出发后的时间，则下图中的四个图形中较符合该学生走法的是（  ）
337,平行四边形的定义是（  ）
338,在如图所示的四个汽车标志图案中，能用平移变换来分析其形成过程的图案是(    )
341,2018年10月23日，港珠澳大桥开通仪式在广东珠海举行，习近平同志出席仪式并宣布大桥正式开通，大桥于同年10月24日上午9时正式通车．港珠澳大桥是世界上最长的跨海大桥，全长55000米，大桥设计使用寿命120年，可抵御8级地震，16级台风．将55000用科学记数法表示为
344,比较两个数的大小，下列式子中错误的是（  ）
345, 在一个晴朗的上午，乐乐拿着一块长方形木板在地面上形成的投影中不可能的是（ ）
348,下列属于尺规作图的是（  ）．
355,下列命题中，真命题的个数是（    ）。经过三点一定可以作圆；任意一个圆一定有一个内接三角形，并且只有一个内接三角形；任意一个三角形一定有一个外接圆，并且只有一个外接圆；三角形的外心到三角形三个顶点的距离都相等。
358,已知边长为a的正方形的面积为8，则下列说法中，错误的是（）.
360,集合A＝{2，－1}，B＝{m²－m，－1}，且A＝B，则实数m＝(　　)
364,用定义求定积分的四个基本步骤：（ ）
365,若方程mx﹣2y=3x+4是关于x、y的二元一次方程，则m的取值范围是（　　）
367,下列计算过程正确的是（  ）
372,"若集合A＝{(1,2)，(3,4)}，则集合A中元素的个数是( )"
374,a为有理数，下列式子成立的是（）
375,一组数据：2，6，4，7，2的中位数是（ ）.
376,已知a＞b，若c是任意实数，则下列不等式中总是成立的是（  ）.
383,在下列语句中：①作直线AB与CD相交；②在直线上取一点C；③相等的角是对顶角；④2是偶数.是命题的是（   ）
384,某品牌运动服经过两次降价，每件零售价由480元降到270元，已知两次降价的百分率相同，求每次降价的百分率.设每次降价的百分率为x，则x满足的方程是(   ).
387,用科学记数法表示136000，其结果是
389,骆驼被称为“沙漠之舟”，它的体温随时间的变化而变化，在这一问题中，自变量是（ ）
391,下列说法正确的是（　　）
393,下列方程是一元二次方程的是（  ）
394,不等式x≤2的解集在数轴上表示为（）
395,下列图形是轴对称图形的是（  ）．
397,平行四边形相邻两内角的角平分线相交所成的角是（  ）
402,下列各对角中终边相同的角是（  ）
403,把二次函数y=x²-2x+4化为y=a(x-h)²+k的形式，下列变形正确的是（   ）.
406,如图是一个骰子的四幅展开图，第四幅展开图中缺少圆点，“？”处填涂正确的是（  ）__img1420.jpg
409,某人沿着倾斜角为α的斜坡前进100米，则他上升的最大高度是( )．
410,对角线互相垂直的平行四边形是（     ）
411,下列哪组对象不能构成集合（　　）
413,__img1441.jpg的计算结果是（ ）
424,一个角为30°的直角三角形三边长度之比为（   ）
429,如图，等边三角形ABC内接于⊙O，连接OB，OC，那么∠BOC的度数是（　　）
430,下列计算中正确的是（）
432,"在下列各命题中，正确的有（   ）个：①有一个底角相等的两个等腰三角形相似；②所有的矩形都相似③如果四边形ABCD与四边形A′B′C′D′是位似图形，且位似比为k,则△BCD∽△B′C′D′④将△ABC三个顶点的横坐标和纵坐标分别变成原来的2倍，得到点A′、B′、C′，则△A′B′C′与△ABC是相似图形，但不是位似图形"
438,若反比例函数的图象经过点（3，-2），则该反比例函数的表达式为（  ）
441,下列说法中正确的个数为（）①不相交的两条直线叫做平行线②平面内，过一点有且只有一条直线与已知直线垂直③平行于同一条直线的两条直线互相平行④在同一平面内，两条直线不是平行就是相交
447,"A,B,C,D四点在同一直线上，线段AB的长为6，C为线段AB靠近点B的三等分点，同时也为线段AD的中点，则线段BD的长为（　）"
449,矩形具有而平行四边形不具有的性质为(   ).
450,若干本书分给某班同学，每人6本则余18本，每人7本则少24本.设该班有学生x人，或设共有图书y本，分别得方程（）
452,如果a＞b，那么下列各式中一定成立的是（ ）①a＋2＞b＋2；②ac＜bc；③－2a＞－2b；④3－a＜3－b
453,已知集合A＝{x|x²－1＝0}，则有(　　)　
455,下列现象：（1）用两个钉子就可以把木条固定在墙上.（2）从A地到B地架设电线，总是尽可能沿着线段AB架设.（3）植树时，只要确定两棵树的位置，就能确定同一行树所在的直线.（4）把弯曲的公路改直，就能缩短路程.其中能用“两点确定一条直线”来解释的现象有（    ）
456,小明量得一根绳长3.693米，将这个数据保留到十分位，结果约为（ ）
458,下列各式去括号正确的是(    )
461,已知a＞b，下列不等式中，不正确的是（）
462,某班学生排队，如果每排6人可以排6排，若每排4人，可以排（ ）排。
463,掷两次1元硬币，至少有一次正面（币值一面）朝上的概率是（   ）．
466,用数轴表示不等式2-x>0解集正确的是
469,已知四边形ABCD中有四个条件：①AB∥CD；②AB=CD；③BC∥AD；④BC=AD.从中任选两个，不能使四边形ABCD成为平行四边形的是（）
472,下列计算正确的是（ ）                      
476,下列图形中，是中心对称图形的是（    ）.
478,在Rt△ABC和Rt△A1B1C1中，∠C=∠C1=90º，下列说法中①AC=A1C1，∠A=∠A1；②AC=A1C1，BC=A1B1；③AC=A1C1，AB=A1B1；，正确的有：（ ）
480,在△ABC中，∠C＝90°，sinA=4/5，则下列说法正确的是( )．  
482,对于集合A、B，“A⊆B不成立”的含义是
489,下列长度的三条线段，能组成三角形的是（  ）
491,我国第一艘航母“辽宁舰”最大排水量为67500吨，用科学记数法表示这个数字是（　　）
492,下列软件图标中是轴对称图形的是（   ）
497,下列函数中的偶函数是
503,如果一次函数y=kx＋（k－1）的图象经过第一、三、四象限，则k的取值范围是（ ）.
505,要调查下面的问题，适合全面调查的是（    ）.
508,下列三个日常现象：①用两根钉子就可以把一根木条固定在墙上；②把弯曲的公路改直，就能够缩短路程；③体育课上，老师测量某个同学的跳远成绩.其中，可以用“两点之间，线段最短”来解释的现象是（    ）
509, 下列哪个条件可以说明△ABC为等边三角形（  ）．
515,关于x的一元二次方程x2+4x+k=0有两个相等的实数根，则k的值为（ ）.
516,小王抛一枚质地均匀的硬币，连续抛4次，硬币均正面朝上落地. 如果他再抛第5次，那么硬币正面朝上的概率为
517,"若两条平行线被第三条直线所截,则一组同位角的平分线互相（ ）"
518,加上下列单项式后，可以使4x 2 +1成为一个整式的完全平方的是
520,下列是我国四座城市的地铁标志图，其中是中心对称图形的是（ ）.
523,在等边三角形、平行四边形、矩形、等腰直角三角形这些几何图形中，既是中心对称图形又是轴对称图形的是（    ）.
524,已知a>0，函数f(x)＝ax²＋bx＋c，若x0满足关于x的方程2ax＋b＝0，则下列选项的命题中为假命题的是()
526,类比二次根式，下列关于高次根式说法错误的是（）.
531,已知边长为a的正方形的面积为8，则下列说法中，错误的是（  ）.
532,当x=-2时，代数式x+1的值是（ ）   
534,在等边三角形、平行四边形、矩形、等腰直角三角形这些几何图形中，既是中心对称图形又是轴对称图形的是（    ）.
535,点C在线段AB上，下列条件中不能确定点C是线段AB中点的是（    ）．
539,不用计算，估计一下42×89的积最接近（   ）。
540,直角三角形的三条高的交点在（  ）
541,用尺规作图，已知三边作三角形，用到的基本作图是（ ）．
545," 小慧把4（x+8）错写成4x+8,这两个式子相比较，（）"
547,下列标志是轴对称图形的是（  ）.
548,数据显示，2015年全国新建、改扩建校舍约为51  660000平方米，全面改善贫困地区义务教育薄弱学校基本办学条件工作取得明显成果.将数据51  660000用科学记数发表示应为（ ）.[来源:Z+xx+k.Com]
555,下列标志是轴对称图形的是                     （  ）           
557,中共十九大召开期间，十九大代表纷纷利用休息时间来到北京展览馆，参观“砥砺奋进的五年”大型成就展.据统计，9月下旬开幕至10月22日，展览累计参观人数已超过78万.请将780000用科学记数法表示为（） 
558,老北京的老行当中有一行叫做“抓彩卖糖”：商贩将高丽纸裁成许多小条，用矾水在上面写上糖的块数，最少一块，多的是三块或五块，再将纸条混合一起．游戏时叫儿童随意抽取一张，然后放入小水罐中浸湿，即现出白道儿，按照上面的白道儿数给糖．一个商贩准备了10张质地均匀的纸条，其中能得到一块糖的纸条有5张，能得到三块糖的纸条有3张，能得到五块糖的纸条有2张．从中随机抽取一张纸条，恰好是能得到三块糖的纸条的概率是（ ）
565,下列说法中，不正确的是（   ）
566,对下列命题的否定说法错误的是( )
567,用代数式表示“m的3倍与n的差的平方”正确的是（）.
572,把三角形的面积分为相等的两部分的线段是（  ）
574,下列解方程的步骤符合等式性质的是（）
575,关于x的方程5x＝3x＋2m－6的解是负数，那么m的取值范围是（ ）.
580,样本平均数和样总体平均数之间的关系是（   ）
582,已知集合A={x∈N*|x²﹣3x＜0}，则满足条件B⊆A的集合B的个数为（　　）
585,下列4个图形中，线段BE是△ABC的高的是（ ）．
591,公园里准备修5条通道，并在通道交叉路口处设一个报亭，这样的报亭最多设（    ）．
593,若集合A＝{参加北京奥运会比赛的运动员}，集合B＝{参加北京奥运会比赛的男运动员}，集合C＝{参加北京奥运会比赛的女运动员}，则下列关系正确的是(　　)
594,若关于x，y的方程xm+2﹣yn﹣1=5是二元一次方程，则m+n的值为（　　）
596,清明节是中国传统节日，它不仅是人们远足踏青的日子，更是祭奠祖先、缅怀先人的节日。市民政局提供的数据显示，今年清明节当天，全市213处祭扫点共接待群众264000人，将264000用科学计数法表示应为（    ）。
597,电子跳蚤落在数轴上的某点K0，第一步从K0向左跳1个单位到K1，第二步由K1向右跳2个单位到K2，第三步由K2向左跳3个单位到K3，第四步由K3向右跳4个单位到K4，…，按以上规律跳了100步时，电子跳蚤落在数轴上的点K100所表示的数恰是30，则电子跳蚤的初始位置K0点所表示的数为（　）
599,已知线段AB=10cm，C是直线AB上一点，BC=2cm，D是线段AB的中点，E是线段BC的中点，那么DE的长是（）.
616,已知集合P={x|x²﹣2x﹣8＞0}，Q={x|x≥a}，P∪Q=R，则a的取值范围是（　　）
620,下列运算正确的是（  ）.
621,命题“若x²<1，则-1<x<1”的逆否命题是()．
626,下列各组式子中是同类项的是
628,下列说法正确的是（  ）
629,下列几组数中，互为相反数的是（）.
630,下列从左到右的变形属于因式分解的是（  ）．
634,"函数y=(2k+1)x+b在(-∞,+∞)上是减函数,则(  )"
636,已知三角形两直角边长分别为32和42，要使得该三角形为直角三角形，则第三条边长为（）
637,解方程（x－1）2－5（x－1）＋4=0时，我们可以将x－1看成一个整体，设x－1=y，则原方程可化为y2－5y＋4=0，解得y1=1，y2=4．当y=1时，即x－1=1，解得x=2；当y=4时，即x－1=4，解得x=5，所以原方程的解为：x1=2，x2=5．则利用这种方法求得方程（2x＋5）2－4（2x＋5）＋3=0的解为（　　）
639,某种钙片一盒共装钙片200克，所含成分如下表，这盒钙片中含钙（ ）克。  __img2220.jpg
640,已知△ABC为等腰三角形，∠ABC=50o，∠ACB=∠BAC，则∠ACB等于（  ）．
642,张明是某制鞋厂的经理，他最关心的应该是鞋的尺码的（  ）
645,三张外观相同的卡片分别标有数字1、2、3，从中随机一次抽出两张，这两张卡片上的数字恰好都小于3的概率是（  ）．
649,在平面直角坐标系中，将点A（-1，2）向右平移3个单位长度得到点B，则点B关于x轴的对称点C的坐标是（ ）.
652,一个面积为18的正方形边长是（  ）
660,下列投影不是中心投影的是(　　)．
663,二次函数y=(x-1)²-2的图象上最低点的坐标是（ ）
666,a、b是两个给定的整数，某同学分别计算当x=-1、1、2、4时代数式ax+b的值，依次得到下列四个结果，已知其中只有三个是正确的，那么错误的一个是（　）
667,已知长方形的面积为20cm2，设该长方形一边长为ycm，另一边的长为xcm，则y与x之间的函数图象大致是（　　）.
674,下列四个命题中，既是全称命题又是真命题的是(   )
675,不等式2x-3>1的解集在数轴上表示正确的是（） 
676,用4700张纸装订成两种挂历500本，其中甲种每本7张纸，乙种每本13张纸.若甲种挂历有x本，乙种挂历有y本，则下面所列方程组正确的是（）.
677,2016年春节假期期间，我市接待旅游总人数达到9186000人次，比去年同期增长1.9%．将9186000有科学计数法表示应为（ ）
680,学校打算同时使用两种形状的彩色地砖密铺地面，其中不能采用的地砖形状是（ ）
681,1．集合{x∈N＋|x－3<2}用列举法可表示为(　　)
682,"若函数y=f(x)在区间[a,b]上的图象为连续不断的一条曲线，则下列说法正确的是（  ）"
685,每年的3.12日是植树节，某校七年级有120名学生参加植树节活动，在活动中男生平均每人挖2个树坑，女生平均每人种5课树，这样恰好能使挖好的树坑都能种上树，如果设该年级参加植树的男生和女生各有x和 y 人，那么可列二元一次方程组为
686,菱形具有而矩形不具有性质是(   ).
687,甲乙两艘客轮同时离开港口，航行的速度都是40m/min，甲客轮用15min到达点A，乙客轮用20min到达点B。若A，B两点的直线距离为1000m，甲客轮沿着北偏东30°的方向航行，则乙客轮的航行方向可能是（ ）
688,下列说法中，正确的是（    ）
690,"如图所示,四幅图中灯光与影子的位置最合理的是(　　)．"
693,要想了解某校学生身高情况，从全校3600名学生中随机抽取120名学生进行调查．在这次调查中样本是（  ）
695,下列命题中正确的是（  ）．
698,下列说法中一定正确的是（  ）.
699,定积分的值是一个（ ）.
700,"已知集合N＝{1,3,5}，则集合N的真子集个数为(　　)"
701,下列式子中是分式的是（  ）.
702,已知△ABC的三条边长分别为3，4，6，在△ABC所在平面内画一条直线，将△ABC分割成两个三角形，使其中的一个是等腰三角形，则这样的直线最多可画（ ）．
704,下列方程变形中，正确的是（）.
706,能判定A，B，C三点共线的是（    ）．
709,"如果a<b,那么下列不等式一定成立的是（　）"
718,如果二次函数f(x)=x²+mx+(m+3)有两个不同的零点，则m的取值范围是（  ）
721,京剧被誉为我国国粹，为传承民族文化，房山区某中学开展了“京剧进课堂”的实践活动，学生们制作了各式各样的脸谱.下列脸谱中，不是轴对称图形的是
722,在抛一枚质地均匀的硬币的实验中，如果没有硬币，则下列实验不能作为替代物的是（ ）
727,下列现象：①用两个钉子就可以把木条固定在墙上．②从A地到B地架设电线，总是尽可能沿着线段AB架设．③植树时，只要确定两棵树的位置，就能确定同一行树所在的直线．④把弯曲的公路改直，就能缩短路程．其中能用“两点之间，线段最短”来解释的现象有
731,下列几何体中，主视图和俯视图都为矩形的是（ ）
734,"设集合A＝{5,2a}，集合B＝{a，b}，若A∩B＝{2}，则a＋b等于(　　)"
738,下列方程是一元二次方程的是(   ).
739,（2019年，海淀期中）将抛物线y=（x+1）²-2向上平移a个单位后得到的抛物线恰好与x轴有一个交点，则a的值为（   ）.
743,等腰直角三角形三边长度之比为（   ）
745,下列调查中，适宜采用全面调查（普查）方式的是（　）
749,下列计算中正确的是(  )．
750,小智用尺子测量自己课桌的长度，结果是80（   ）
757,下列说法不正确的是（　　）
759,下列交通标志是轴对称图形的是（   ）
765,下列说法正确的是（　　）.
766,如图，分别以直角三角形的三边为斜边，在其三角形外作等腰直角三角形，其面积分别记为__img2604.jpg，则__img2605.jpg的关系为（    ） __img2606.jpg
771,（2019年，海淀期中）下列App图标中，既不是中心对称图形也不是轴对称图形的是（  ）.         
772,下列四个几何体中，是圆锥的为
776,在十九大召开期间，“十九大”“习近平”“总书记”最受新闻网站关注。据统计，关键词“十九大”在1.3万个网站中产生数据174000条。将174000用科学记数法表示为（ ）
778,下列各组函数中，表示同一个函数的是(　　)
781,下列计算中，正确的一项是(  )．
785,下列图形中，有可能是等腰三角形的是（ ）．
786,下列图形中对称轴数量最多的是（）
788,对于有理数x，y，规定一种新的运算“※”：x※y=ax+by，其中a、b为常数，已知2※1=4，8※(-3)=2，则5※(-1)的值为（　 ）
789,已知点P（a＋1，2a－3）在第四象限，则a的取值范围是（）
791,某农机厂四月份生产零件50万个，第二季度共生产零件182万个.设该厂五、六月份平均每月的增长率为x，那么x满足的方程是（   ）
795,不等式2x＞-3的最小整数解是（）
798,某洗衣机在洗涤衣服时经历了注水、清洗、排水三个连续过程（工作前洗衣机内无水），在这三个过程中洗衣机内水量y（升）与时间x（分）之间的函数关系对应的图象大致为（   ）.
800,一个面积为18的正方形边长是（）
801,某种商品的进价为800元，出售标价为1200元，后来由于该商品积压，商店准备打折销售，要保证利润率不低于5%，该种商品最多可打（ ）折
805,"不相等的有理数a、b、c在数轴上对应点分别为A、B、C，如果∣a-b∣+∣b-c∣=∣a-c∣,那么点A、B、C在数轴上的位置关系是（  ）"
807,下列可以说明△ABC为等腰三角形的是（  ）．
808, 上午九时，阳光灿烂，小李在地面上同时摆弄两根长度不相等的竹竿，若它们的影子长度相等，则这两根竹竿的相对位置可能是（　　）．
811,根据已知条件作符合条件的三角形，在作图过程中，主要依据是（  ）．
812,下列说法错误的是（　　）.
813,"1.若函数f(x)在区间(a,b)上是增函数,在区间(c,d)上也是增函数,则函数f(x)在区间(a,b)∪(c,d)上(　　)"
820,－3的相反数是（ ）
821,"下列函数在(0,1)上是增函数的是(　　)"
824,下列计算正确的是（ ）
825,下列图象中，是函数图象的是（ ）
828,已知点M（-3，-2），那么它到y轴的距离是（）
840,下列说法一定正确的是（  ）.
842,已知集合M＝{(x，y)|x＋y＝2}，N＝{(x，y)|x－y＝4}，那么集合M∩N为(　　)
843,"设x∈Z，集合A是奇数集，集合B是偶数集．若命题p：∀x∈A,2x∈B，则( )"
845,以下说法正确的是（）
846,下列运算结果正确的是（）
851,某厂2015年的生产总值为a万元，2016年的生产总值比2011年增长了20％，那么该厂2012年的生产总值是（ ）
852,下列计算正确的是（）.
855,（2019年，海淀期中）下图是几种汽车轮毂的图案，图案绕中心旋转90°后能与原来的图案重合的是（   ）.
858, 点A在数轴上-3的位置，若A沿数轴移动6个单位长度后到达点B，则点B表示的数为 (   )
861,平行四边形不一定具有的特征是（  ）
865,有若干张面积分别为a²、b²、ab的正方形和长方形纸片，小明从中抽取了1张面积为b的正方形纸片，6张面积为ab的长方形纸片，若他想拼成一个大正方形，则还需要抽取面积为a²的正方形纸片（）
868,为纪念中国人民抗战战争的胜利，9月3日被确定为抗日战争胜利纪念日，某校为了了解学生对“抗日战争”的知晓情况，从全校2000名学生中，随机抽取了120名学生进行调查，在这次调查中，下列说法正确的是（　　）.
875,"礼堂第一排有m个座位,后面每排都比前一排多一个座位,则第n排座位个数是（ ）"
